,年,順位,球団,勝,防御率,打率,本塁打,盗塁,得点,失点,犠打,犠打率,QS率,得点圏,UC打率,代打率,失策,打点,安打数,単打,2塁打,3塁打,出塁率,長打率,OPS,得点圏打数,得点圏安打,得点圏打率,UC打数,UC安打,UC率,UC本塁打,試合数,打席数,打数,四球,死球,企盗塁,盗塁成功率,企犠打,犠打成功率,犠飛,代打数,代打安打,併殺,三振,先発防御率,救援防御率,S,奪三振,投球回,奪三振率,投球数,打者数,被安打,被本塁打,与四球,与死球,敬遠,自責点,完投,完封,無四球,被打率,援護点,援護率,WHIP,UC被安打,UC被打率,UC被本塁打,平均動員数
2018_5,2018,5,中日,63,4.36,0.265,97,61,598,654,86,77.48,48.95,0.28,0.27,0.205,51,579,1288,950,213,28,0.325,0.38,0.705,1202,336,0.28,2126,574,0.27,36,143,5431,4858,402,45,95,0.642,111,0.775,40,283,58,105,981,4.08,4.93,28,941,1262 2/3,0.08,21789,5494,1249,149,520,50,6,611,9,7,1,0.254,437,4.33,1.4,554,0.265,73,30231
2018_6,2018,6,阪神,62,4.03,0.253,85,77,577,628,108,82.44,46.15,0.265,0.243,0.261,88,551,1221,888,225,23,0.33,0.361,0.691,1263,335,0.265,2156,523,0.243,36,143,5553,4833,528,46,97,0.794,131,0.824,37,295,77,109,1086,4.23,3.7,35,1182,1276,0.1,22075,5526,1238,127,485,51,24,572,4,2,1,0.249,362,3.8,1.35,501,0.253,49,40831
2019_1,2019,1,巨人,77,3.77,0.257,183,83,663,573,84,82.35,48.25,0.251,0.263,0.237,72,627,1242,823,221,15,0.335,0.422,0.758,1190,299,0.251,1977,519,0.263,70,143,5537,4835,540,47,103,0.806,102,0.824,31,299,71,106,1205,3.83,3.68,34,1139,1279 1/3,0.1,21439,5459,1227,150,421,58,25,536,3,1,1,0.248,468,4.79,1.29,523,0.257,60,42643
2019_2,2019,2,ＤｅＮＡ,71,3.93,0.246,163,40,596,611,81,77.88,37.06,0.271,0.253,0.202,63,575,1177,790,210,14,0.315,0.398,0.713,1066,289,0.271,2050,519,0.253,73,143,5375,4778,449,41,66,0.606,104,0.779,26,277,56,109,1065,4.04,3.8,30,1172,1274,0.1,21776,5470,1201,137,456,36,62,557,6,6,0,0.244,358,4.14,1.3,536,0.252,61,31716
2019_3,2019,3,阪神,69,3.46,0.251,94,100,538,566,104,80.62,43.36,0.247,0.255,0.241,99,509,1213,883,216,20,0.319,0.362,0.681,1205,298,0.247,2384,609,0.255,40,143,5465,4835,447,49,134,0.746,129,0.806,30,253,61,102,1044,3.9,2.7,36,1135,1289 2/3,0.1,21417,5445,1209,115,415,53,29,496,5,3,0,0.244,323,3.35,1.26,555,0.247,46,42935
2019_4,2019,4,広島,70,3.68,0.254,140,81,591,601,111,82.22,52.45,0.261,0.247,0.214,87,562,1232,859,216,17,0.324,0.392,0.716,1220,318,0.261,2135,528,0.247,60,143,5504,4852,479,36,121,0.669,135,0.822,26,285,61,86,1106,3.75,3.63,23,1068,1280 1/3,0.09,21864,5515,1198,135,481,48,32,524,10,4,5,0.242,385,4.04,1.31,566,0.256,54,31319
2019_5,2019,5,中日,68,3.72,0.263,90,63,563,544,108,82.44,46.15,0.263,0.263,0.195,43,545,1265,904,240,31,0.317,0.381,0.698,1227,323,0.263,2124,558,0.263,39,143,5350,4816,349,48,95,0.663,131,0.824,29,282,55,104,1024,3.96,3.32,37,1088,1269,0.1,21352,5352,1155,146,430,50,22,525,3,2,0,0.238,402,4.09,1.25,555,0.259,65,31741
2019_6,2019,6,ヤクルト,59,4.78,0.244,167,62,656,739,84,69.42,37.06,0.248,0.25,0.227,96,630,1181,790,205,19,0.329,0.398,0.728,1203,298,0.248,2095,524,0.25,70,143,5572,4833,570,56,86,0.721,121,0.694,29,313,71,105,1212,5.05,4.42,28,1068,1270,0.09,21964,5608,1365,168,450,46,23,675,3,1,2,0.268,430,4.85,1.43,562,0.281,66,27543
2020_1,2020,1,巨人,67,3.34,0.255,135,80,532,421,59,71.95,46.67,0.269,0.255,0.186,43,507,1019,685,183,16,0.328,0.41,0.739,953,256,0.269,1614,412,0.255,49,120,4519,3994,423,22,113,0.708,82,0.72,21,231,43,80,974,3.2,3.6,27,886,1060 2/3,7.52,17580,4429,901,114,374,59,16,394,4,4,0,0.226,393,4.93,1.2,373,0.215,42,8209
2020_2,2020,2,阪神,60,3.35,0.246,110,80,494,460,86,81.13,55.0,0.258,0.242,0.216,85,472,965,671,167,17,0.321,0.381,0.702,938,242,0.258,1739,421,0.242,56,120,4475,3923,400,43,112,0.714,106,0.811,23,204,44,83,955,3.38,3.39,30,867,1054 1/3,7.4,17204,4433,952,94,345,29,26,393,8,2,4,0.236,338,4.07,1.23,416,0.241,44,8632
2020_3,2020,3,中日,60,3.84,0.252,70,33,429,489,73,66.36,45.0,0.254,0.26,0.221,51,415,996,730,178,18,0.316,0.359,0.676,969,246,0.254,1712,445,0.26,30,120,4437,3952,346,39,55,0.6,110,0.664,27,204,45,101,812,3.57,4.33,31,947,1055,8.08,17595,4431,1002,116,325,36,15,450,11,6,2,0.247,276,3.45,1.26,421,0.245,43,6300
2020_4,2020,4,ＤｅＮＡ,56,3.76,0.266,135,31,516,474,51,78.46,40.83,0.262,0.26,0.23,52,495,1078,753,180,10,0.324,0.415,0.739,972,255,0.262,1793,466,0.26,45,120,4501,4058,337,29,46,0.674,65,0.785,26,243,56,94,867,3.92,3.54,24,932,1045,8.03,17656,4451,997,98,337,38,55,437,4,1,1,0.248,308,4.17,1.28,468,0.271,47,7795
2020_5,2020,5,広島,52,4.06,0.262,110,64,523,529,81,73.64,51.67,0.265,0.253,0.275,74,501,1069,740,198,21,0.331,0.402,0.732,1057,280,0.265,1733,438,0.253,39,120,4609,4082,386,43,96,0.667,110,0.736,17,229,63,91,890,3.74,4.64,21,913,1069,7.69,18533,4636,1065,113,410,28,19,482,8,2,2,0.255,337,4.09,1.38,437,0.262,46,8964
2020_6,2020,6,ヤクルト,41,4.61,0.242,114,74,468,589,56,70.0,30.83,0.244,0.246,0.207,65,449,967,677,163,13,0.321,0.375,0.696,911,222,0.244,1748,430,0.246,52,120,4552,3994,434,42,109,0.679,80,0.7,26,300,62,95,931,4.83,4.33,21,884,1063,7.48,18464,4713,1177,139,383,28,21,545,1,1,0,0.275,305,4.23,1.47,497,0.281,49,6010
